"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT18","WT21","WV01","WV03","WV20"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-02-22","13.87"," 1122"," 1115","1.27",,,"52","56","48",,"  150","  160","0.0","33.1","38.9","    1",,"    1",,,,,,,"    1",,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-02-23","8.05"," 0958"," 1423","0.02",,,"49","55","43",,"  270","  260","0.0","19.9","23.0",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-02-24","6.93"," 1330"," 1142","0.15",,,"47","52","42",,"  230","  180","0.0","17.0","23.0",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-02-25","6.26"," 2106"," 2116","0.02",,,"51","56","46",,"  170","  160","0.0","14.1","16.1","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-02-26","18.57"," 2157"," 2126","0.49",,,"57","59","54",,"  160","  160","0.0","33.1","42.9","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-02-27","14.99"," 0031"," 0024","0.41",,,"54","57","50",,"  150","  150","0.0","30.0","36.0","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-02-28","10.51"," 0202"," 0201","0.02",,,"53","57","49",,"  270","  280","0.0","21.0","25.1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-02-29","11.18"," 2029"," 2045","0.33",,,"53","58","48",,"  260","  260","0.0","23.0","25.9","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-01","7.61"," 1941"," 1940","0.00",,,"51","59","43",,"  260","  270","0.0","21.9","25.1",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-02","8.05"," 1709"," 1708","0.22",,,"52","56","48",,"  270","  270","0.0","23.0","25.9","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-03","8.50"," 2109"," 2100","0.00",,,"53","62","44",,"  250","  260","0.0","19.9","23.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-04","8.72"," 2347"," 2346","0.63",,,"54","58","50",,"  250","  260","0.0","17.9","21.0","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-05","15.43"," 1200"," 0949","0.03",,,"49","51","47",,"  270","  280","0.0","30.0","38.0",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-06","6.71"," 1711"," 1658","0.00",,,"52","57","47",,"  240","  250","0.0","17.0","21.0",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-07","8.72"," 1626"," 1626","0.45",,,"50","54","45",,"  130","  120","0.0","19.9","25.1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-08","9.62"," 1207"," 1150","0.20",,,"47","53","41",,"  160","  190","0.0","23.9","28.0","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-09","8.05"," 1449"," 1444","0.14",,,"53","58","48",,"  190","  190","0.0","16.1","21.0",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-10","4.70"," 1523"," 1526","0.00",,,"52","61","43",,"  220","  210","0.0","15.0","16.1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-11","8.50"," 1807"," 1544","0.07",,,"56","61","50",,"  260","  260","0.0","19.9","23.0","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-12","9.62"," 1806"," 1558","0.00",,,"54","62","46",,"  250","  260","0.0","23.9","28.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-13","14.09"," 1719"," 1719","0.00",,,"54","61","47",,"  260","  260","0.0","31.1","36.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-14","10.29"," 1501"," 1521","0.00",,,"60","67","52",,"  270","  280","0.0","25.1","29.1","    1",,,,,,,,,"    1",,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-15","9.17"," 1809"," 1810","0.00",,,"59","71","47",,"  260","  260","0.0","28.0","34.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-16","19.91"," 1710"," 1703","0.00",,,"55","61","49",,"  260","  260","0.0","46.1","51.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-17","9.40"," 1710"," 1747","0.00",,,"55","66","44",,"  250","  260","0.0","23.9","25.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-18","11.41"," 1748"," 1747","0.00",,,"58","67","48",,"  250","  250","0.0","25.9","31.1",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-19","21.47"," 1432"," 1432","0.00",,,"54","59","48",,"  270","  270","0.0","38.9","42.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-20","17.67"," 0450"," 0444","0.00",,,"56","64","47",,"  330","  330","0.0","32.0","38.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-21","8.50"," 0006"," 0005","0.00",,,"62","71","53",,"  340","  340","0.0","19.9","23.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-22","9.40"," 1332"," 1331","0.00",,,"58","68","48",,"  270","  280","0.0","23.0","25.1",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-23","10.51"," 1529"," 1619","0.00",,,"53","59","47",,"  250","  250","0.0","21.0","23.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-24","8.72"," 1800"," 1744","0.00",,,"52","61","43",,"  230","  230","0.0","19.9","23.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-25","8.95"," 1541"," 1449","0.00",,,"53","58","47",,"  250","  250","0.0","17.9","21.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-26","10.29"," 1609"," 1547","0.00",,,"53","59","47",,"  260","  260","0.0","21.9","25.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-27","18.34"," 1920"," 1801","0.00",,,"52","56","48",,"  250","  240","0.0","33.1","38.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-28","12.97"," 1830"," 1906","0.00",,,"52","58","45",,"  250","  260","0.0","25.9","30.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-29","10.74"," 1703"," 1702","0.00",,,"55","64","46",,"  260","  260","0.0","25.9","29.1",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-30","7.38"," 1441"," 1440","0.00",,,"58","71","44",,"  270","  270","0.0","23.0","25.1",,,,,,,,,,,,,,,,,
