"STATION","NAME","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-05-19",,,,"0.00","0.0","0.0","84","52","59",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-05-20",,,,"0.00","0.0","0.0","90","56","65",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-05-21",,,,"0.00","0.0","0.0","91","58","68",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-05-22",,,,"0.00","0.0","0.0","91","65","68",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-05-23",,,,"0.00","0.0","0.0","94","58","66",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-05-24",,,,"0.08","0.0","0.0","93","56","62",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-05-25",,,,"0.00","0.0","0.0","87","48","50",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-05-26",,,,"0.00","0.0","0.0","72","48","53",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-05-27",,,,"0.00","0.0","0.0","71","48","51",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-05-28",,,,"0.00","0.0","0.0","74","51","56",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-05-29",,,,"0.00","0.0","0.0","74","49","64",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-05-30",,,,"0.19","0.0","0.0","64","48","52",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-05-31",,,,"0.12","0.0","0.0","63","45","48",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-01",,,,"0.00","0.0","0.0","77","45","58",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-02",,,,"0.00","0.0","0.0","88","55","60",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-03",,,,"0.17","0.0","0.0","77","52","57",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-04",,,,"0.71","0.0","0.0","72","48","52",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-05",,,,"0.50","0.0","0.0","62","48","52",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-06",,,,"0.00","0.0","0.0","82","44","59",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-07",,,,"0.00","0.0","0.0","90","52","60",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-08",,,,"0.00","0.0","0.0","84","50","56",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-09",,,,"0.00","0.0","0.0","83","51","56",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-10",,,,"0.21","0.0","0.0","75","51","56",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-11",,,,"0.36","0.0","0.0","60","42","45",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-12",,,,"0.39","0.0","0.0","72","45","54",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-13",,,,"0.06","0.0","0.0","67","45","58",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-14",,,,"0.00","0.0","0.0","78","46","54",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-15",,,,"0.00","0.0","0.0","83","52","60",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-16",,,,"0.00","0.0","0.0","90","56","63",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-17",,,,"0.00","0.0","0.0","90","58","65",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-18",,,,"0.00","0.0","0.0","94","59","68",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-19",,,,"0.00","0.0","0.0","92","62","67",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-20",,,,"0.03","0.0","0.0","96","61","73",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-21",,,,"0.14","0.0","0.0","95","66","70",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-22",,,,"0.03","0.0","0.0","95","61","70",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-23",,,,"0.00","0.0","0.0","95","63","69",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-24",,,,"0.05","0.0","0.0","93","60","66",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-25",,,,"0.00","0.0","0.0","82","61","64",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-26",,,,"0.00","0.0","0.0","84","60","65",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-27",,,,"0.03","0.0","0.0","92","55","63",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-28",,,,"0.00","0.0","0.0","95","58","65",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-29",,,,"0.00","0.0","0.0","94","58","65",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-06-30",,,,"0.00","0.0","0.0","92","57","64",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-01",,,,"0.00","0.0","0.0","92","58","63",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-02",,,,"0.00","0.0","0.0","92","63","68",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-03",,,,"0.00","0.0","0.0","92","62","66",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-04",,,,"0.04","0.0","0.0","92","53","61",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-05",,,,"0.02","0.0","0.0","90","56","65",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-06",,,,"0.00","0.0","0.0","91","58","64",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-07",,,,"0.00","0.0","0.0","97","61","73",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-08",,,,"0.00","0.0","0.0","102","66","74",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-09",,,,"0.00","0.0","0.0","98","65","72",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-10",,,,"0.00","0.0","0.0","98","62","75",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-11",,,,"0.00","0.0","0.0","94","62","68",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-12",,,,"0.00","0.0","0.0","96","64","68",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-13",,,,"0.00","0.0","0.0","96","63","72",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-14",,,,"0.00","0.0","0.0","99","64","71",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-15",,,,"0.00","0.0","0.0","99","67","71",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-16",,,,"0.00","0.0","0.0","97","64","70",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-17",,,,"0.00","0.0","0.0","98","64","70",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-18",,,,"0.00","0.0","0.0","90","62","67",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-19",,,,"0.00","0.0","0.0","92","63","72",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-20",,,,"0.00","0.0","0.0","103","67","73",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-21",,,,"0.00","0.0","0.0","108","70","75",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-22",,,,"0.00","0.0","0.0","106","68","74",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-23",,,,"0.00","0.0","0.0","104","72","83",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-24",,,,"0.00","0.0","0.0","101","67","72",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-25",,,,"0.46","0.0","0.0","95","64","69",,,,,,
"USC00052223","DENVER WATER DEPARTMENT, CO US","2005-07-26",,,,"0.24","0.0","0.0","90","58","62",,,,,,
