"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-17","11.63"," 1614"," 1630","0.00",,,,"32","50","13","    0","   90","   90",,"21.0","23.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-18","7.38"," 1617"," 1540","0.00",,,,"29","44","13","    0","  330","  330",,"13.0","15.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-19","10.51"," 1642"," 1500","0.00",,,,"42","64","20","    0","  310","  330",,"25.1","32.0",,,,,,,,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-20","10.07"," 1647"," 1647","0.00",,,,"42","58","25","    0","  310","  300",,"33.1","40.9",,,,,,,,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-21","11.41"," 0956"," 0954","0.00",,,,"43","56","30","    0","  270","  270",,"30.0","36.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-22","9.84"," 1632"," 1631","0.00",,,,"37","46","27",,"  130","  120",,"21.9","25.9","    1",,,,,,,,,,,"    1",,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-23","6.26"," 1101"," 1045","0.00",,,,"30","43","24",,"   40","   10",,"15.0","17.9",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-24","4.92"," 2227"," 1533","0.00",,,,"34","50","17",,"  210","   20",,"13.0","15.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-25","10.29"," 1411"," 1411","0.00",,,,"39","53","24",,"  150","  130",,"17.0","21.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-26","9.84"," 2356"," 2353","0.00",,,,"38","53","22",,"  330","  330",,"17.0","19.9",,,,,,,,,,,,,,,,,,,,
